OBJECTID,County,FIPS,NCGS_url,ck_date,Shape__Area,Shape__Length,Worried,NotWorried,CarbonTax,NoCarbonTax,OffshoreDrilling,NoOffshoreDrilling
37,Jones,103,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,13202674192,737436.2942,60.565,39.29,63.183,34.813,57.369,41.909
56,Lee,105,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,7224520836,417759.3378,63.123,36.745,63.865,34.393,53.858,45.679
24,Lenoir,107,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2016/11/30 00:00:00+00,11185878706,557870.359,63.502,36.408,66.825,31.239,54.019,45.154
60,Lincoln,109,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,8496812064,455023.6694,54.016,45.877,56.06,42.504,61.343,38.449
49,Macon,113,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,14484033358,656906.771,56.03,43.805,57.739,40.638,57.95,41.764
72,Madison,115, ,2011/11/29 00:00:00+00,12584845173,660215.9126,55.385,44.539,57.586,41.08,59.878,40.031
18,Martin,117, ,2011/11/29 00:00:00+00,12730531659,740355.0734,58.383,41.555,59.881,38.84,56.866,43.107
65,McDowell,111, ,2020/08/19 00:00:00+00,12410163346,587223.1985,58.345,41.685,63.409,34.758,59.759,39.37
41,Mecklenburg,119,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,15202529805,635613.2531,71.163,28.94,73.305,25.266,47.843,52.434
78,Mitchell,121, ,2014/09/11 00:00:00+00,6185163883,557594.5697,51.377,48.539,53.652,45.255,63.419,36.44
45,Montgomery,123, ,2011/11/29 00:00:00+00,13971606176,597819.7054,57.179,42.758,60.765,37.383,58.555,40.779
16,Moore,125,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,19667956414,762525.0386,59.035,40.94,60.872,37.702,55.688,44.449
71,Nash,127, ,2011/11/29 00:00:00+00,15131475324,621305.4734,61.52,38.485,65.926,32.096,56.248,42.958
10,New Hanover,129,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,6140589516,514532.8874,65.145,34.824,62.821,35.823,50.239,49.806
91,Northampton,131, ,2011/11/29 00:00:00+00,15351125928,775923.2008,65.393,34.631,68.149,29.657,56.654,42.043
31,Onslow,133,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2012/12/07 00:00:00+00,22747152411,703791.9335,59.723,40.284,61.844,37.018,56.175,42.592
12,Orange,135,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2020/08/19 00:00:00+00,11177847733,442314.9095,73.239,26.793,72.582,25.998,40.324,60.145
